sample_id,source,color_name,L,a,b,r_380,r_390,r_400,r_410,r_420,r_430,r_440,r_450,r_460,r_470,r_480,r_490,r_500,r_510,r_520,r_530,r_540,r_550,r_560,r_570,r_580,r_590,r_600,r_610,r_620,r_630,r_640,r_650,r_660,r_670,r_680,r_690,r_700,r_710,r_720,r_730,r_740,r_750,r_760,r_770,r_780
train_00000,high_chroma,near white,98.08651733398438,39.12654495239258,7.565855979919434,0.2937105894088745,0.3339790403842926,0.3682436943054199,0.4338088929653168,0.48667728900909424,0.5388069152832031,0.6133649349212646,0.674312174320221,0.7306289672851562,0.8125379085540771,0.8665664792060852,0.9472992420196533,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9481388926506042,0.8823497295379639,0.8091870546340942,0.7488258481025696,0.6446313858032227,0.5662400722503662,0.4894990622997284,0.43541640043258667,0.37872299551963806,0.3117230236530304,0.25737205147743225,0.2177625447511673,0.19961361587047577,0.17384886741638184,0.15059271454811096,0.12187589704990387,0.11805551499128342,0.10720500349998474,0.1009836345911026,0.10217291861772537,0.09180521965026855
train_00001,smooth_basis,violet,28.82119369506836,27.16420555114746,-34.88532257080078,0.1343366503715515,0.14012213051319122,0.1451430469751358,0.14715047180652618,0.14869408309459686,0.13795529305934906,0.13745523989200592,0.15124137699604034,0.14125657081604004,0.13078083097934723,0.13226093351840973,0.13375112414360046,0.14579179883003235,0.13732607662677765,0.13319413363933563,0.10547596961259842,0.08599656820297241,0.05613436922430992,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.04805183410644531,0.09348129481077194,0.12438564002513885,0.14764155447483063,0.15240919589996338,0.1553797870874405,0.16128748655319214,0.1458255648612976,0.14820696413516998,0.14946229755878448,0.1530495434999466,0.1677427887916565,0.1557610034942627,0.16236446797847748,0.18063123524188995
train_00002,high_chroma,orange,83.29452514648438,80.04331970214844,47.606815338134766,0.08770710229873657,0.11598271131515503,0.1219610795378685,0.12300292402505875,0.12538915872573853,0.1531628519296646,0.16160069406032562,0.1857791393995285,0.2026735097169876,0.24040530622005463,0.24750778079032898,0.26957762241363525,0.3168439567089081,0.35874515771865845,0.4186248481273651,0.46916505694389343,0.5270385146141052,0.6062449216842651,0.6508361101150513,0.726770281791687,0.7891376614570618,0.8495246767997742,0.8795905113220215,0.9205116629600525,0.9110094308853149,0.8751546144485474,0.8352363705635071,0.7861790060997009,0.7158548831939697,0.644088864326477,0.56763756275177,0.4596894681453705,0.3692631125450134,0.29062938690185547,0.257904589176178,0.20103129744529724,0.16890311241149902,0.13955461978912354,0.12411585450172424,0.12174561619758606,0.10255102813243866
train_00003,smooth_basis,magenta,72.71033477783203,56.77396011352539,-28.046762466430664,0.6325345635414124,0.6202397346496582,0.6168086528778076,0.6133143305778503,0.6356016993522644,0.5993821024894714,0.6086506843566895,0.5831387042999268,0.5924451947212219,0.5768238306045532,0.559977650642395,0.548317551612854,0.527938961982727,0.5233809947967529,0.49772509932518005,0.4727194011211395,0.4548235237598419,0.4525544345378876,0.4510873258113861,0.4230731725692749,0.4083166718482971,0.4019785225391388,0.40272918343544006,0.3824443221092224,0.3658651113510132,0.3693114221096039,0.3492993116378784,0.3461835980415344,0.31862401962280273,0.29206153750419617,0.2810618579387665,0.305660605430603,0.30528736114501953,0.2895805835723877,0.2947160005569458,0.3232519328594208,0.30948659777641296,0.32428643107414246,0.35216644406318665,0.3533805012702942,0.3674573600292206
train_00004,smooth_basis,deep red,45.92273712158203,45.71110153198242,5.406010150909424,0.0668741911649704,0.06734081357717514,0.07496986538171768,0.08463259786367416,0.10135530680418015,0.08315479755401611,0.10094749182462692,0.10002192109823227,0.10580934584140778,0.12333611398935318,0.12291222810745239,0.13512784242630005,0.12443237006664276,0.12324380874633789,0.1321963518857956,0.14110548794269562,0.1447211354970932,0.1364416778087616,0.15261292457580566,0.15854716300964355,0.18616317212581635,0.18464665114879608,0.1623474359512329,0.173005610704422,0.1660904437303543,0.17936566472053528,0.19259776175022125,0.20530401170253754,0.18949609994888306,0.19367600977420807,0.1822095513343811,0.20565371215343475,0.20042511820793152,0.20968379080295563,0.2102615237236023,0.22222065925598145,0.20976614952087402,0.2168772667646408,0.2570555508136749,0.22710877656936646,0.23323678970336914
train_00005,high_chroma,violet,48.199951171875,92.15089416503906,-98.84574127197266,0.4281078577041626,0.5236225128173828,0.6239698529243469,0.7312676906585693,0.84775310754776,0.93074631690979,0.9800000190734863,0.9800000190734863,0.9723971486091614,0.8741129636764526,0.7616918683052063,0.6309003829956055,0.4903390109539032,0.37737128138542175,0.282909095287323,0.21495601534843445,0.16113106906414032,0.14083553850650787,0.11710944771766663,0.12660115957260132,0.1134168729186058,0.09623970091342926,0.0811040922999382,0.07503273338079453,0.09621989727020264,0.08560831844806671,0.08683546632528305,0.06392132490873337,0.09017904102802277,0.08513332158327103,0.0692731961607933,0.075522780418396,0.08278484642505646,0.08061482012271881,0.07713243365287781,0.07899712026119232,0.07749883830547333,0.08153627067804337,0.09472091495990753,0.05433673411607742,0.07763330638408661
train_00006,absorption_band,deep red,83.0928726196289,62.416343688964844,9.01937484741211,0.6594584584236145,0.6243560314178467,0.6416290402412415,0.6142677068710327,0.5867059230804443,0.5269054174423218,0.46587708592414856,0.4074353575706482,0.3398153781890869,0.32640260457992554,0.34111401438713074,0.3912889063358307,0.47869402170181274,0.5353162884712219,0.5912660956382751,0.6121796369552612,0.6325255036354065,0.6322681307792664,0.6519259810447693,0.6311508417129517,0.6510096192359924,0.6413403153419495,0.6549719572067261,0.6507704257965088,0.6614685654640198,0.6505699157714844,0.627541720867157,0.6425926089286804,0.6315420866012573,0.6380793452262878,0.6583744287490845,0.6496374607086182,0.6362728476524353,0.6331249475479126,0.643589973449707,0.6310965418815613,0.6365507245063782,0.6463822722434998,0.6548152565956116,0.6493497490882874,0.6203492283821106
train_00007,absorption_band,violet,69.44347381591797,43.86425018310547,-45.041297912597656,0.8255108594894409,0.8280577659606934,0.8196961879730225,0.8196029663085938,0.8186863660812378,0.7984908223152161,0.7701829075813293,0.6924840211868286,0.6196449995040894,0.6271390914916992,0.6827167868614197,0.7586768269538879,0.7895100116729736,0.7410905361175537,0.6856107711791992,0.6161156892776489,0.5233176350593567,0.4090580642223358,0.3261980712413788,0.24750739336013794,0.19675838947296143,0.15991996228694916,0.15758219361305237,0.13694977760314941,0.16727285087108612,0.3034002184867859,0.4188854396343231,0.5639711022377014,0.688951313495636,0.7339919805526733,0.7775044441223145,0.7919020652770996,0.8066493272781372,0.8210734724998474,0.8224669694900513,0.8201091289520264,0.8032414317131042,0.7942716479301453,0.8179166913032532,0.8126554489135742,0.8219670653343201
train_00008,smooth_basis,near white,95.85648345947266,76.81501007080078,3.1239748001098633,0.7344880104064941,0.6897671818733215,0.6599524021148682,0.6480110883712769,0.6113652586936951,0.6239693760871887,0.6405466794967651,0.6600139141082764,0.70970618724823,0.7577953338623047,0.7782701849937439,0.8086038827896118,0.8368505835533142,0.852773129940033,0.8478575348854065,0.8686895966529846,0.8630151748657227,0.8646766543388367,0.8866264224052429,0.9105774164199829,0.965911328792572,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.9725366234779358,0.9285351037979126,0.8999909162521362,0.8637283444404602,0.8473305106163025,0.8330208659172058,0.8330404162406921,0.810204267501831
train_00009,absorption_band,near white,91.5014419555664,72.75265502929688,-14.326143264770508,0.7984093427658081,0.8144317269325256,0.815691351890564,0.7956153750419617,0.7965235114097595,0.805683970451355,0.7864649891853333,0.798252284526825,0.7946629524230957,0.7980606555938721,0.7865878939628601,0.7790259122848511,0.7741917371749878,0.7837477326393127,0.7903348207473755,0.7919896841049194,0.8142938613891602,0.8059815168380737,0.7853006720542908,0.7983986735343933,0.790850818157196,0.7920779585838318,0.7967748045921326,0.8011133074760437,0.7915288805961609,0.8055562376976013,0.783429741859436,0.7941001057624817,0.8138928413391113,0.761186420917511,0.6895085573196411,0.5372917056083679,0.4387146532535553,0.4656325876712799,0.5996463298797607,0.7132062315940857,0.780918300151825,0.7834662199020386,0.8012712597846985,0.805753767490387,0.7985860109329224
